facility_id,stroke_measure_name,stroke_score,compared_to_national
050135,Death rate for stroke patients,11.9,No Different Than the National Rate
050136,Death rate for stroke patients,12.6,No Different Than the National Rate
050137,Death rate for stroke patients,Not Available,Number of Cases Too Small
050138,Death rate for stroke patients,10.8,No Different Than the National Rate
050139,Death rate for stroke patients,Not Available,Number of Cases Too Small
050140,Death rate for stroke patients,Not Available,Number of Cases Too Small
050145,Death rate for stroke patients,12.2,No Different Than the National Rate
050149,Death rate for stroke patients,12.9,No Different Than the National Rate
050150,Death rate for stroke patients,11.8,No Different Than the National Rate
050152,Death rate for stroke patients,11.8,No Different Than the National Rate
050158,Death rate for stroke patients,Not Available,Number of Cases Too Small
050159,Death rate for stroke patients,11.8,No Different Than the National Rate
05015F,Death rate for stroke patients,Not Available,Not Available
050167,Death rate for stroke patients,14.2,No Different Than the National Rate
050168,Death rate for stroke patients,12.2,No Different Than the National Rate
050169,Death rate for stroke patients,13,No Different Than the National Rate
050174,Death rate for stroke patients,12.4,No Different Than the National Rate
050179,Death rate for stroke patients,12.5,No Different Than the National Rate
050180,Death rate for stroke patients,16.6,Worse Than the National Rate
050191,Death rate for stroke patients,10.9,No Different Than the National Rate
050192,Death rate for stroke patients,Not Available,Number of Cases Too Small
050194,Death rate for stroke patients,12,No Different Than the National Rate
050195,Death rate for stroke patients,11.4,No Different Than the National Rate
050197,Death rate for stroke patients,12.5,No Different Than the National Rate
050204,Death rate for stroke patients,13.6,No Different Than the National Rate
05020F,Death rate for stroke patients,Not Available,Not Available
050211,Death rate for stroke patients,11.2,No Different Than the National Rate
050222,Death rate for stroke patients,10.7,No Different Than the National Rate
050224,Death rate for stroke patients,10.3,Better Than the National Rate
050226,Death rate for stroke patients,15.8,No Different Than the National Rate
050228,Death rate for stroke patients,12.1,No Different Than the National Rate
05022F,Death rate for stroke patients,Not Available,Not Available
050230,Death rate for stroke patients,Not Available,Number of Cases Too Small
050231,Death rate for stroke patients,15.9,No Different Than the National Rate
050232,Death rate for stroke patients,14.1,No Different Than the National Rate
050234,Death rate for stroke patients,12,No Different Than the National Rate
050235,Death rate for stroke patients,9.9,Better Than the National Rate
050236,Death rate for stroke patients,12.9,No Different Than the National Rate
050238,Death rate for stroke patients,10.8,Better Than the National Rate
050239,Death rate for stroke patients,10.8,No Different Than the National Rate
050242,Death rate for stroke patients,10.4,Better Than the National Rate
050243,Death rate for stroke patients,14.2,No Different Than the National Rate
050245,Death rate for stroke patients,13.7,No Different Than the National Rate
050248,Death rate for stroke patients,12.3,No Different Than the National Rate
050254,Death rate for stroke patients,14.9,No Different Than the National Rate
050257,Death rate for stroke patients,Not Available,Not Available
05025F,Death rate for stroke patients,Not Available,Not Available
050261,Death rate for stroke patients,14,No Different Than the National Rate
050262,Death rate for stroke patients,13.1,No Different Than the National Rate
050272,Death rate for stroke patients,18.5,Worse Than the National Rate
050276,Death rate for stroke patients,13.8,No Different Than the National Rate
050278,Death rate for stroke patients,11.6,No Different Than the National Rate
050279,Death rate for stroke patients,Not Available,Number of Cases Too Small
05027F,Death rate for stroke patients,Not Available,Not Available
050280,Death rate for stroke patients,14.1,No Different Than the National Rate
