county_fips,county_name,state,stroke_mortality_rate,uninsured_rate,burden_index,population,state_norm,county_norm,hospitals_reporting,mean_stroke_score,mean_performance_weight,burden_scaled,supply_score,care_gap_index_raw,care_gap_index,SCAI,data_status,national_rank,category
01095,Marshall County,AL,100.9,11243.0,11344.187,98712.0,AL,MARSHALL,1.0,12.9,1.0,9.336548880110271,0.6931471805599453,6.813457142028812,0.5001235939514554,0.49987640604854455,VALID,916.0,Good Access
01097,Mobile County,AL,111.7,44347.0,49535.599,413162.0,AL,MOBILE,4.0,13.975,0.3333333333333333,10.81046704909205,0.8472978603872036,7.239369017921891,0.5313865157895205,0.46861348421047955,VALID,1246.0,Moderate Access
01099,Monroe County,AL,117.5,2153.0,2529.775,19580.0,AL,MONROE,0.0,,-1.0,7.836280858924587,0.0,7.836280858924587,0.5752012326023654,0.42479876739763456,VALID,1712.0,Moderate Access
01101,Montgomery County,AL,112.0,23508.0,26328.96,227197.0,AL,MONTGOMERY,3.0,14.866666666666667,0.25,10.178462733309559,0.5596157879354227,7.957745031456148,0.5841169852425494,0.4158830147574506,VALID,1793.0,Low Access
01103,Morgan County,AL,95.2,13679.0,13022.408,123742.0,AL,MORGAN,1.0,13.5,1.0,9.474503632663778,0.6931471805599453,6.9141312568577815,0.5075133080241492,0.4924866919758508,VALID,1003.0,Moderate Access
01105,Perry County,AL,106.4,606.0,644.784,8231.0,AL,PERRY,0.0,,-1.0,6.470465082544975,0.0,6.470465082544975,0.47494717940740067,0.5250528205925993,INSUFFICIENT DATA,,
01107,Pickens County,AL,104.4,1528.0,1595.2320000000002,18843.0,AL,PICKENS,0.0,,-1.0,7.375401130854039,0.0,7.375401130854039,0.5413715891222307,0.4586284108777693,VALID,1360.0,Moderate Access
01109,Pike County,AL,105.4,2690.0,2835.26,32953.0,AL,PIKE,0.0,,-1.0,7.9502415618701185,0.0,7.9502415618701185,0.5835662131310875,0.4164337868689125,VALID,1787.0,Low Access
01111,Randolph County,AL,96.5,1983.0,1913.595,22310.0,AL,RANDOLPH,0.0,,-1.0,7.5572613909973,0.0,7.5572613909973,0.5547205550001774,0.44527944499982264,VALID,1509.0,Moderate Access
01113,Russell County,AL,134.6,6549.0,8814.954,58858.0,AL,RUSSELL,0.0,,-1.0,9.08431831359324,0.0,9.08431831359324,0.6668100831761369,0.3331899168238631,VALID,2262.0,Lowest Access
01115,St. Clair County,AL,108.0,6636.0,7166.88,92903.0,AL,ST. CLAIR,0.0,,-1.0,8.877365213443204,0.0,8.877365213443204,0.65161924450659,0.34838075549340997,VALID,2214.0,Low Access
01117,Shelby County,AL,81.6,14950.0,12199.2,226955.0,AL,SHELBY,1.0,16.0,1.0,9.4092076240296,0.6931471805599453,6.866480721088374,0.5040156479220982,0.4959843520779018,VALID,960.0,Good Access
01119,Sumter County,AL,103.3,1087.0,1122.871,12020.0,AL,SUMTER,0.0,,-1.0,7.024534255183934,0.0,7.024534255183934,0.5156171447629608,0.48438285523703917,VALID,1092.0,Moderate Access
01121,Talladega County,AL,98.7,6561.0,6475.707,81170.0,AL,TALLADEGA,0.0,,-1.0,8.775967481167259,0.0,8.775967481167259,0.6441764152310435,0.3558235847689565,VALID,2179.0,Low Access
01123,Tallapoosa County,AL,98.4,3575.0,3517.8,41070.0,AL,TALLAPOOSA,0.0,,-1.0,8.16587530137852,0.0,8.16587530137852,0.5993942309100357,0.40060576908996426,VALID,1935.0,Low Access
01125,Tuscaloosa County,AL,105.1,15471.0,16260.021,234036.0,AL,TUSCALOOSA,1.0,15.8,-0.5,9.69652617325838,0.0,9.69652617325838,0.7117475633185435,0.2882524366814565,VALID,2351.0,Lowest Access
01127,Walker County,AL,116.1,7415.0,8608.815,64886.0,AL,WALKER,1.0,15.1,1.0,9.060658110547497,0.6931471805599453,6.612122584856214,0.4853451693982775,0.5146548306017225,VALID,786.0,Good Access
01129,Washington County,AL,120.8,1172.0,1415.776,15270.0,AL,WASHINGTON,0.0,,-1.0,7.25613914674299,0.0,7.25613914674299,0.5326174822316958,0.4673825177683042,VALID,1262.0,Moderate Access
01131,Wilcox County,AL,108.5,927.0,1005.795,10347.0,AL,WILCOX,0.0,,-1.0,6.91452729701919,0.0,6.91452729701919,0.5075423782926991,0.4924576217073009,VALID,1004.0,Moderate Access
01133,Winston County,AL,92.7,2202.0,2041.254,23637.0,AL,WINSTON,0.0,,-1.0,7.6218093788441275,0.0,7.6218093788441275,0.559458527367415,0.44054147263258503,VALID,1572.0,Moderate Access
00001,Alabama,AL,100.8,,,,AL,ALABAMA,0.0,,-1.0,,0.0,,,,VALID,,
05001,Arkansas County,AR,117.0,1100.0,1287.0,16773.0,AR,ARKANSAS,0.0,,-1.0,7.160845906664299,0.0,7.160845906664299,0.5256227368749733,0.4743772631250267,VALID,1190.0,Moderate Access
05003,Ashley County,AR,107.1,1599.0,1712.529,18722.0,AR,ASHLEY,0.0,,-1.0,7.446310265595141,0.0,7.446310265595141,0.546576484459717,0.45342351554028304,VALID,1421.0,Moderate Access
05005,Baxter County,AR,111.4,2988.0,3328.632,42150.0,AR,BAXTER,1.0,16.8,0.0,8.110617066357243,0.0,8.110617066357243,0.59533814799674,0.40466185200326,VALID,1901.0,Low Access
05007,Benton County,AR,71.0,28690.0,20369.9,294541.0,AR,BENTON,1.0,12.0,-0.3333333333333333,9.92186269086633,0.0,9.92186269086633,0.7282877875667342,0.2717122124332658,VALID,2377.0,Lowest Access
05009,Boone County,AR,74.7,2967.0,2216.349,37896.0,AR,BOONE,1.0,13.6,1.0,7.704067617163945,0.6931471805599453,5.6221346027182815,0.4126777500141521,0.5873222499858479,VALID,273.0,Good Access
05011,Bradley County,AR,111.2,1233.0,1371.096,10354.0,AR,BRADLEY,0.0,,-1.0,7.224094776683466,0.0,7.224094776683466,0.5302653509735094,0.46973464902649065,VALID,1237.0,Moderate Access
05013,Calhoun County,AR,121.8,444.0,540.7919999999999,4717.0,AR,CALHOUN,0.0,,-1.0,6.294882163945821,0.0,6.294882163945821,0.46205898499217213,0.5379410150078279,INSUFFICIENT DATA,,
05015,Carroll County,AR,68.4,3798.0,2597.8320000000003,28526.0,AR,CARROLL,0.0,,-1.0,7.862817392305971,0.0,7.862817392305971,0.5771490758439183,0.4228509241560817,VALID,1730.0,Moderate Access
